gin,description drizly,description caskers
journeyman bilberry black hearts gin,"Back Label: According to Thomas Hardy’s novel, The Return of the Native, the bilberries were called, “black-hearts.” Everyone has a bit of a dark heart, but there’s always a sweet return at the smell and taste of familiar things. Distiller Comments: Indigenous to Britain and northern Europe, the bilberry takes center stage next to a supporting cast of juniper and seven other botanicals in our gin. A cousin to the huckleberry and blueberry, the bilberry is smaller with a fuller taste and is extremely hard to grow. Thus it is seldom cultivated. The fruit is mostly collected from wild plants growing on public lands. It is an everyman’s right to collect bilberries irrespective of land ownership. The bilberry is dark in color and usually appears black, thus the berry was commonly referred to as a black heart in 19th century southwestern England. I hope that this truly unique berry and its flavors of tart fig, pepper, and black licorice rest well on your pallet. Product Information: Juniper, bilberries and seven other botanicals are macerated and soaked in a 100% organic wheat base spirit overnight. The next day the base spirit, by now full of flavor from the botanicals, enters the still and is distilled into a refined gin. The definition of small batch, each gin run produces less than ten gallons of distillate. Bilberry Black Hearts Gin is clean, bright, and fruity with subtle hints of black licorice.","This Bilberry Black Hearts Gin is aptly named after the famed Bilberry, cousin to the huckleberry & blueberry."
boodles rhubarb & strawberry gin,,This signature series Boodles pink gin is a modern twist on an English tradition featuring garden-fresh rhubarb and juicy strawberries.
empress 1908 indigo gin,"Empress 1908 Gin delights the senses with its balanced citrus-and-spice palette, brilliant colour, light floral fragrance, and soft texture. Handcrafted in small batch copper-pot stills using 8 botanicals, Empress 1908 is a collaboration between Victoria Distillers and British Columbia’s legendary Empress Hotel. It’s the perfect base for a new aesthetic of cocktail creation and enjoyment.",This award-winning gin gets its indigo blue color from the infusion of butterfly pea blossom.
chase gb gin,,This GB Gin is crafted by copper pot distilling Chase Potato Vodka with 10 botanicals.
highclere castle gin,,"Distilled above an ancient underground water source, Highclere Castle Gin is produced in England’s oldest gin distillery in one of the oldest working copper gin stills dating back to the 1800s."
dry town gin,"For its distinct taste and superb quality, Dry Town Gin won Double Gold at the 2016 New York International Spirits Competition. Dry Town Gin is crafted in Colorado and made with 10 botanicals through an 18-hour soak and vapor extraction. This process brings out the best of each botanical and creates a distinctively refreshing herbal, piney and citrus flavor. It’s all about highlighting the ingredients to bring forward the true expression and character. Colorado-grown sage, along with lemongrass and French verveine provide a fruit-forward flavor Fresh, sliced oranges smooth out the mouthfeel Fresh lime peel adds a clean punch of citrus to brighten the gin Fresh ginger acts as a sweet backbone, while black pepper adds balance with a hint of spice Additional botanicals that round out the flavor profile include juniper, orris root, and angelica root",This Prohibition inspired gin earned a Gold medal from the 2018 San Francisco World Spirits Competition.
hepple gin,,This stunning gin earned a a Gold medal at the San Francisco Spirits Awards.
bobby's schiedam jenever dry gin,,"Bobby’s Schiedam Jenever is a unique blend of Indonesian spice and traditional malt wine, delivering a fresh burst of lemongrass and herbs at first sip."
downton abbey gin,,This gin is created using only the most beautiful fresh botanicals and Harrogate Spring Water from North Yorkshire right in the heart of ‘Downton Abbey Country.
elephant london dry gin,,"This African inspired Elephant Gin is crafted from 14 handpicked botanicals, sourced from across the world."
elephant gin elephant strength,,"This Elephant Strength gin is a spirited take on the ""navy strength"" used by the Royal English Navy."
harahorn gin,,"Distilled from Norwegian potato liquor, the base of this gin is comprised of Røros juniper, Nordmarka blueberries, anise, Oppdal angelica, Grimstad rhubarb, seaweed, wild Sunndal marjoram, and 16 other Norse herbs."
adirondack adk gin,,"Made with a unique blend of 10 botanicals and essential oils, this gin is also infused with bilberries, a special berry native to the Adirondacks."
spirit works sloe gin,,This California sloe gin is crafted using a family recipe passed down for generations in rural England.
hendrick's gin,"Proudly touted as ""a most unusual gin,"" Hendrick's Gin is a delightfully curious liquid with a unique character that stands out from the rest. This small-batch gin is produced by William Grant & Sons and infused with cucumber, rose and traditional juniper at the brand's Scottish distillery. Small batches are typically defined as 1,000 liters or fewer, but Hendrick's Gin is crafted in tiny 500-liter batches, giving the master distiller more control over her artistry. Hendrick's is the result of combining two different spirits from rare and unusual stills: the Bennet still and the Carter-Head still. The exceptionally smooth gin features a nice balance of subtle flavors, which include wonderful notes of flowers, fruits, roots and seeds from across the world. In fact, the Wall Street Journal has described Hendrick's as the ""Best Gin in the World."" William Grant & Sons suggests serving the gin over ice with tonic water. Garnish with a cucumber slice instead of the traditional lemon wedge. Another great option is to serve the gin with soda water and a bit of elderflower. You can also create an odd variety of cocktails with distinctive bouquets. Gordon's Cup is a sour-and-salty concoction that marries cucumber, salt and pepper, lime juice and freshly ground salt and pepper. If that's too ambitious, try a simple Gin & Tonic using Hendrick's.",This gin was called the “Best Gin in the World” by the Wall Street Journal.
few barrel gin,"This is a stunning American gin, made by FEW Spirits in Illinois, USA. It was aged in oak barrels, and the result of this is an increased level of sweetness, complexity and spice","Aged in oak barrels for four months, this gin earned the highest rating the Beverage Testing Institute has awarded any gin in the past five years."
anchor old tom gin,,"This old-school gin is the first-ever to use Paraguayan stevia, which lends the gin a silky texture and signature sweetness."
cotswolds dry gin,"Our Cotswolds Dry Gin has a delectable blend of nine carefully-considered botanicals. The expression of the traditional London dry style comes from the maceration into our pure wheat spirit of juniper, coriander and angelica root, which have been left for 12 hours to allow their flavour characteristics to fully infuse. We then add our unique botanical mix of Cotswolds lavender and bay leaf, grapefruit, lime, black pepper and cardamom seed into our carter head still for distillation before finishing with naturally refined Cotswolds water. The result is a classic well-balanced juniper-led gin with crisp citrus and spice. This gin is delicious on its own and over ice. It’s robust enough to stand up to tonic and smooth enough to craft the ultimate gin martini.","A product of the uniquely beautiful Cotswolds, this gin is new to the United States and was rated a perfect 5+ by Difford's Guide."
black button citrus forward gin,"Jason Barrett has always found Gin to be an acquired taste. That is why he has given this spirit a new twist for gin lovers and an excellent starting point for the more inexperienced gin drinkers. The blend of bitter orange peel, sweet orange peel, and New York State Cascade hops molds well with the delicate notes of juniper berry. The unique blend of botanicals leaves you with a long lingering “citrus forward” taste at the end. It’s the citrus overtone that makes this gin ideal for any hot summer day. Whether it’s in a Tom Collins, Gin & Tonic, or Gimlet, Black Button Gin will have you pondering what else Gin can do. It’s a Gin that both experienced Gin drinkers and newcomers can enjoy.",This gin was called the “Official Gin of Summer” in 2015 by Food and Beverage Magazine.
beefeater burrough's reserve oak rested gin,"Remember when genever was going to be the next big thing? Of course you don’t. That stillborn trend gave way to aged gin, which is now — cautiously — on the rise. Will barrel-aged gin be successful where genever was not? Let’s take a look at a bottling from one of the biggest names in gin, Beefeater. Burrough’s Reserve (tagline: “the gin for free thinkers”) is distilled in 268-liter small batches (the botanicals used are not published) before being aged for an unspecified time (not long, I think) in former Lillet aperitif wine barrels","Distilled by hand using James Burrough’s original copper still, each bottle of Beefeater Burrough’s Reserve displays its batch and bottle number on the label. Burrough’s Reserve won the Gold Medal at the International Wine and Spirits Competition, and was named “The 5 Best Bottles of Gin in the World” by Business Insider."
knickerbocker blueberry gin,,This unique gin is steeped in blueberries harvested on the West Coast of Michigan.
stirk's small batch aged gin,"Crafted in the London Dry style, Stirk’s Gin is distilled in England before being aged for over three months in oak casks that previously held Speyside whisky.","Crafted in the London Dry style, Stirk’s Gin is distilled in England before being aged for over three months in oak casks that previously held Speyside whisky."
esp american beauty gin,A floral gin with balance. Rose is brought into harmony with traditional juniper and corriander profiles. Striking notes of cinnamon and ginger round out the palate. A spirit perfectly suited to delicate classic cocktails.,"ESP American Beauty Gin comes in a distinctive, matte black bottle that has been wax-sealed by hand."
dingle original pot still gin,Classic angelica and juniper on the nose with minty herbs and cool spice on the palate.,This new take on a London dry from Ireland’s first artisan distillery showcases botanicals foraged from the country’s west coast.
citadelle gin,"Citadelle is half revival, half new innovation: the revival is based on one the first gin produced in France at the “Citadelle.” The innovation is in the where and the how. Maison Ferrand Distillery and the SW corner of France is best known for its Cognac. But perhaps the boldest part was the revelation that during the offseason when they legally couldn’t distill Cognac, they could distill gin. The government finally relented in ’95, and so began the magic of open flames [don't try this at home] and pot stills: Citadelle 2.0 was thusly born.",Citadelle Gin is the world’s only copper distilled gin made from over 15 botanicals.
aviation american gin,"""I've tried every gin on the planet and Aviation is, hands down, the best. Also, I don't recommend trying every gin on the planet. Stick with this one."" – Ryan Reynolds, Owner, Aviation American Gin Created to change the way people think about gin, Aviation American Gin is made in the traditional dry style with anything but a traditional flavor profile. Aviation explores the rich, floral and savory notes of lavender, cardamom, and sarsaparilla to capture the lushness, spice, creativity, and freshness of the Pacific Northwest. This harmonious blend allows the craft spirit to shine on its own as well as when mixed in vintage drinks or contemporary culinary cocktails.","Named after the famed pre-Prohibition cocktail, ""The Aviation,"" this inspired gin has a bright flavor, with a smooth juniper base, and botanical-forward profile, followed by a subtle, clean finish."
bluecoat barrel finished american dry gin,,This brightly colored barrel-finished gin Takes Bluecoat’s flagship bottling to a whole new level. This Bluecoat Barrel Finished Gin is crafted using a barrel finishing technique from the 18th century that utilizes charred barrels to round and soften the gin.
koval dry gin,"Made with a unique variety of woodland spices. Juniper and wildflowers envelop the nose, while the taste is dry, yet vibrant - clean and nuanced by emerald grasses, golden citrus, and white pepper with a round, floral body. Crisp enough to enjoy straight and of course excellent in cocktails both classic and contemporary. ""This gin speaks for itself, and it speaks volumes."" - Paste Magazine Small Batch. Organic. Double Gold Medal, 2015 San Francisco World Spirits Competition Best in Show, 2015 Los Angeles International Spirits Competition Gold Medal, 2015 Spirits Prestige International (SIP) Awards","This small batch, organic gin won a Double Gold Medal, 2015 San Francisco World Spirits Competition, Best in Show at the 2015 Los Angeles International Spirits Competition, and a Gold Medal at the 2015 Spirits Prestige International (SIP) Awards. ""This gin speaks for itself, and it speaks volumes."" - Paste Magazine"
corsair gin-head style american gin,"The nose offers up flavors of lemongrass, citrus and a delicate floral aroma. The palette again comes up slightly floral with coriander showing nicely with a touch of pepper. This gin stays true to the American style.","This “gin head” style gin is made using 100% organic botanicals, which yields a brighter, more well-balanced spirit. This crisp gin struck Gold at the San Francisco World Spirits Competition, the World Beverage Competition, and the International Review of Spirits Awards BTI."
plymouth sloe gin,"In times long, long ago, farmers would end the harvest season gathering berries and nuts from the hedgerows. They soon discovered that the fruit of the Blackthorn Bush (Sloe Berries) was inedible. A eureka moment came later when it was discovered that by soaking the Blackthorn fruit in gin and adding sugar, a very agreeable drink was produced. Sloe Gin was born! Plymouth Sloe Gin is based on an 1883 recipe, and has since become an important part in various classic cocktails, notably the Sloe Gin fizz.","Born in a town steeped in history, where fruit gin traditions predate the town itself, Plymouth’s Sloe Gin is a rendition of a classic 1883 recipe. A Gold Medal winner at the 2011 San Francisco World Spirits Competition, “The making of fruit gins has long been a tradition in the English countryside, and ours keeps true to a recipe dating back to 1883” (Plymouth Gin)."
sipsmith sloe gin,"Sloe gin… what's that? A home-grown British favorite, a triumph of ingenuity, and a forgotten cocktail classic that deserves to be revisited all rolled into one! The boys at Sipsmith hand-harvest ripe sloe berries (fruit from the blackthorn bush) each autumn and infuse them in their London dry gin to make this unique spirit. Gorgeous stone fruit, red currant aromas, bright cassis and ripe cherry flavors are all perfectly balanced with a touch of sweetness and a velvety mouthfeel. For a real treat, drizzle a bit over your next G&T or whip up a classic Sloe Gin Fizz for a truly sublime experience. Limited availability","“First, we distil our award-winning London Dry Gin on our copper stills. Then we leave it to rest on wild sloe berries, picked in the autumn. The result is a truly handmade sloe gin that is subtle, complex and bursting with flavour.” -Sipsmith"
drumshanbo gunpowder irish gin,,"Fusing local Irish ingredients with, Asian botanicals, this unique gin features Gunpowder Tea as its main botanical."
tanqueray rangpur gin,"Tanqueray Rangpur Gin uses rare Rangpur limes during the production process to obtain zest and exotic citrus undertones, this flavor creates a unique, full-bodied spirit with a smooth finish. The perfect inspiration for your own ingenious cocktails, mix Rangpur Gin with a splash of premium tonic water and a wedge of lime for a classic gin and tonic. Tanqueray was developed over 180 years ago by Charles Tanqueray, a clergyman's son who chose not to follow the family calling and instead opened a distillery in Bloomsbury, London. Not afraid to mix up brave ideas in his own unique style, he invented a gin which is still celebrated to this day. The perfect mix of ingenuity, heritage and hard work, Tanqueray is a dry, crisp gin with a rich juniper flavor that makes the most refreshing tasting gin and tonics and the driest of martini cocktails.",Tanqueray Rangpur Gin unveils the best-kept secret of the British-Indian tradition.
reisetbauer sloeberry sloe gin,,"This Reisetbauer rendition of a historical UK favorite is lightly sweet on the palate, with Hungarian sloe berries enhancing the natural flavors and sweetness of the botanicals of Reisetbauer’s more traditional Blue Gin."
koval barreled gin,,"This beautiful, small batch, organic gin is bottled and packaged on-site, in a brightly colored, argyle bottle that won a Gold Medal at the 2016 Los Angeles International Spirits Competition."
breckenridge gin,This fragrant American-style gin stays true to the Breckenridge ideals of mouthfeel and flavor. A juniper body is balanced with notes of bright citrus and complimentary spicy undertones achieved through maceration during distillation. The delicate floral notes layered throughout the profile are extracted through botanical basket distillation.,"Breckenridge gin is a quintessential American-style gin, featuring more prominent, bright citrus-forward, floral notes, compared to its London counterpart. Handcrafted in small batches using a bespoke Vendome custom copper pot still."
sipsmith v.j.o.p. london dry gin,"It has an opaque, reddish/brown hue, a full, voluptuous body and a wafting bouquet of red cherries, plums, vanilla and marzipan. On the palate, the 58-proof liqueur presents a balanced offering of tart red berries, ripe plums, citrus and cassis with semisweet raisins on the lingering finish.","Juniper is the lead instrument in this botanical orchestra, created as a desire by Sipsmith to create the “ultimate gin for juniper lovers.”"
plymouth navy strength gin,"For some it is the ultimate gin, with a rich but very balanced taste that takes a Martini or a Gin and Tonic to a new level. Perfect for the demands of today's more adventurous spirit drinkers and mixologists. The 57% ABV amplifies the aroma and fragrance of the botanicals, yet retains the smooth and balanced character Plymouth Gin is renowned for.","This Navy Strength release won a Double Gold at the 2015 San Francisco World Spirits Competition, and Gold at the 2015 International Spirits Challenge."
malfy gin con limone,A zesty and refreshing new gin - with packaging and branding that is equally delightful! It will convert even the non-gin lovers.,"This gin is crafted from coastal lemons sourced from Sicily and the Amalfi Coast, where some of the best citrus in the worlds is grown."
bertha's revenge small batch irish milk gin,,"Named after the oldest cow in the world, this gin is the first small batch milk gin crafted from whey alcohol."
glendalough wild botanical gin,,"Distilled from only the freshest botanicals foraged in the Wicklow countryside, this seasonal gin received a gold medal at the San Francisco World Spirits Competition."
four pillars bloody shiraz gin,"Straight up you’ve got those pine forest notes, white pepper and spices, and the gin is beautifully balanced with a delicious sweetness and nice tannins to finish. The ABV of this totally unique gin is 37.8%, unlike Sloe Gin where the alcohol less than 30%. So it packs a punch and is ideal in a range of cocktails. The gin is unfiltered, so it will develop secondary fruit characters beyond two years, and is best consumed within two years of vintage. Drink it young and fresh with red berry and spice characters, or enjoy it as it develops. Try it simply with lemon tonic, or mix it and make some delicious pink drinks from the FourPillarsGin.com.au website.","This highly anticipated Bloody Shiraz release is steeped in Australian Shiraz grapes for up two eight weeks, yielding a highly aromatic gin bursting with shiraz flavor."
chief gowanus traditional new netherland gin,"Distilled in the old Dutch colony of Brooklyn from grains grown in New York State, Chief Gowanus is based on an early American recipe for making a version of “Holland gin” out of American rye whiskey. With a little help from Brooklyn’s resident historian of drink, Dr. David Wondrich, we’ve taken our unaged, double-distilled rye whiskey, put it back in our traditional pot still with a few shovelfuls of juniper berries and a handful of Cluster hops (the variety likely to have been in use in 1809, from whence the recipe originates) and run it through a third time. Three months in an oak barrel to smooth it out a bit and the result is gin that, we like to believe, would have brought a smile to the legendary Gowanus, great chief of the Canarsees back in the days when Brooklyn was still Dutch.","This Dutch inspired rye-based gin is named after the legendary Gowanus, the great chief of the Canarsees during Brooklyn’s Dutch days."
gin lane 1751 small batch victoria pink gin,"The tradition of blending gin with bitters was first created by the British Royal Navy to balance out sweet and dry gins...and supposedly to help cure sea sickness. We’ve created a well-balanced gin with juniper still at the forefront but with a harmonious balance of herbal and spiced bitters. Style: A full-bodied gin with an infusion of naturally blended aromatic bitters. Taste: Smooth, refreshing and floral with a gentle hint of spiced bitters.","Gin Lane is named after The Gin Act of 1751, one of the most pivotal moments in the history of gin."
gordon's pink gin,"Gin and tonics just got a whole lot more fun with Gordon's™ Pink Gin. Inspired by Gordon’s™ original recipe from the 1880's, our gin is perfectly crafted and bursting with full berry flavor and refreshing juniper. Its brilliant pink appearance matches the vibrant, fruity flavor and is sure to be a sensation all summer long. Simply mix with tonic water and garnish with strawberry wedges for a bubbly Gordon's™ Pink & Tonic. Includes one 60 proof 750 mL bottle of Gordon's™ Pink Gin. Alexander Gordon’s passion for business began to take shape in 1769. Gordon's continues to be the number one best selling gin brand (IWSR 2015) and in 2016 alone, our leading variant won 6 global spirits awards highlighting our never-failing quality and dedication. Please drink responsibly.",This pink gin is inspired by an original Gordon’s recipe from the late 19th century.
cadenhead's old raj dry gin,"Cadenhead's Old Raj Gin is distinctive in that it contains a measure of saffron, the rare and costly spice derived from the crocus flower. In addition to a slightly spicy flavour, this also imparts a pale yellow colour to Old Raj. The addition of saffron is undertaken personally by the Company master blender in order to ensure a consistency in flavour and colour each time Old Raj is bottled.",The botanicals (except saffron) are distilled with the base spirit. The gin is made using a Cadenheads signature recipe and then shipped to Campbeltown where they reduce the ABV and add saffron prior to bottling. This saffron infused Gin was first introduced in 1972.
beefeater london dry gin 24,"Beefeater 24 is a new luxury super premium addition to the Beefeater Gin portfolio launched in October 2008. Like its revered sister Beefeater Dry, Beefeater 24 is made in the heart of London at the Kennington distillery a ball throw away from the famous Oval cricketing ground.",This premium gin gets its name from its 24-hour steeping process inspired by James Borrough's family history books.
1911 spirits gin,,1911 Vodka and Gin are made from apples distilled exclusively on a farm that has been in the same family for over a century.
anchor junipero gin,,"Made using more than a dozen botanicals, this gin is made in classic dry gin tradition."
barr hill gin,Barr Hill Gin is our ode to the hardworking bees of the Northeast. Each batch is distilled in our custom-built botanical extraction still. The juniper-forward botanicals are brought to a perfect balance by the floral depth of the raw honey. The results are distinctive and unparalleled. How do we extract such complexity from simple raw materials? Our secrets are kept in the hive.,"Made using raw, Vermont honey, this gin is a celebration of one farmer's special connection to the land."
barr hill tom cat reserve gin,"Barrel aged 4-6 months in new, charred American White Oak, Tom Cat is a completely unique gin with whiskey-like notes of oak, spice and a finish of juniper and raw honey. Tom Cat is the modern day adaption of 18th century England’s most revered spirit, Old Tom gin. After gin was outlawed by the Spirits Act of 1750, rebellious pub owners would hang a wooden plaque shaped like a black cat to inform the passerby of their defiance of the ban. Deposit a few pennies through the cat’s mouth and a bartender would pour a ration of Old Tom to be sipped through a tube between the cat’s paws.","Made using raw, organic Vermont honey, Tom Cat Reserve Gin is matured for three to four months in new American oak casks"
bourbon barreled big gin,"A shining example of an aged gin. There is a harmony in the botanicals and the wood notes, which come through at the start. Then there are rich botanical notes, including spice and citrus, before the mellow notes of the barrel return for the finish.","Made from a unique blend of botanicals, this gin is matured for six months in barrels that were previously used to age Kentucky bourbon."
big gin,"It’s nice to come across a product that is not trying to make a “gin” for people who really want vodka, nor is it trying push the flavor in outré directions for reasons of gimmickry alone. But at the same time Big Gin is distinct.","Made from a unique blend of botanicals, this Gin earned the Silver Medal at the San Francisco World Spirits Competition in 2013."
bluecoat american dry gin,"Bluecoat American Dry Gin is an aromatic gin with a bouquet designed for a defined palate. This is derived from the ""secret"" blend of all certified organic botanicals, a list which includes the required juniper berries, along with an American citrus peel selection, sweet orange and lemon peel. The result of Bluecoat's small batch process is a divinely pure and natural-tasting gin that makes a fine cocktail base.","Bluecoat utilizes exclusively organic Mediterranean juniper berries, due to their softer flavor and spicy, earthy notes, as opposed to the pungent, pine tree-flavored juniper berries found within the London Dry style."
bootlegger 21 new york gin,"We were inspired by the classic London dry gins that use a maceration process and a simple botanical blend. Our goal was to have a Juniper forward gin and pull complementary floral, earthy and citrus notes from the Coriander seeds, Lemon Verbena leaves, Orris Root, also known as Iris root, and bitter orange peels. We steep our botanicals in 120 proof neutral spirit made from 100% Corn for 24 hours to produce our maceration. We then distill the gin in our 300 gallon pot still to remove all of the color and bind the flavors. The “Hearts” are captured and blended down to 94 proof for bottling. We were inspired by the classic London dry gins that use a maceration process and a simple botanical blend. Our goal was to have a Juniper forward gin and pull complementary floral, earthy and citrus notes from the Coriander seeds, Lemon Verbena leaves, Orris Root, also known as Iris root, and bitter orange peels. We steep our botanicals in 120 proof neutral spirit made from 100% Corn for 24 hours to produce our maceration. We then distill the gin in our 300 gallon pot still to remove all of the color and bind the flavors. The “Hearts” are captured and blended down to 94 proof for bottling.","Gluten-free and certified kosher, this gin is crafted in five unique botanicals."
botanica spiritvs gin,"Botanica Spiritvs is a modern gin style, where the flavor of Juniper is less bold and more in harmony with the other botanicals that explodes with flavor and aroma. We employ age old proven, as well as new innovative techniques to capture these botanical flavors. Botanica Spiritvs Gin is produced in less than 300 bottles per batch at Falcon Spirits distillery in Richmond California. From start to finish it takes about a month to produce each batch. The base alcohol is Non-GMO grain spirit that has been 6 times distilled and then carbon filtered to remove all impurities. Some of the fruits are distilled within a day from the time they are picked up from farm, and are not available year round. Therefore, each batch is the product of 2-3 separate distillations.","Crafted from 13 unique herbs, this gin is brought to proof with cucumber-infused water sourced from the Sierra Nevada Mountains"
breuckelen glorious gin,"Our original gin recipe. Distilled from wheat grown in upstate New York. We redistill our base spirit in the presence of juniper, lemon, rosemary, ginger, and grapefruit.","Made with a recipe of five different botanicals, this gin pays homage to Brooklyn's founding fathers and its do-it-yourself work ethos."
brooklyn small batch gin,,"Made using eleven different botanicals, this gin earned the Gold Medal at the San Francisco World Spirits Competition in 2015."
